label,time
Time,5.121
Time,0.014
Time,0.014
Time,0.014
Time,0.014
Time,0.014
Time,0.015
Time,0.014
Time,0.014
Time,0.014
Time,0.018
Time,0.015
Time,0.019
Time,0.015
Time,0.015
Time,0.020
Time,0.015
Time,0.015
Time,0.014
Time,0.015
Time,0.015
Time,0.020
Time,0.014
Time,0.014
Time,0.015
Time,0.017
Time,0.014
Time,0.014
Time,0.015
Time,0.014
Time,0.019
Time,0.015
Time,0.015
Time,1.183
Time,0.015
Time,0.052
Time,0.015
Time,0.053
Time,0.016
Time,0.030
Time,0.041
Time,0.258
Time,0.015
Time,0.015
Time,0.015
Time,0.031
Time,0.317
Time,0.101
Time,0.028
Time,1.054
Time,0.016
Time,0.041
Time,0.045
Time,0.034
Time,0.019
Time,0.037
Time,0.027
Time,0.027
Time,0.052
Time,0.025
Time,0.039
Time,0.025
Time,0.129
Time,0.016
Time,0.052
Time,0.675
Time,0.015
Time,0.015
Time,0.016
Time,0.044
Time,0.015
Time,0.037
Time,0.015
Time,0.596
Time,0.020
Time,0.026
Time,0.029
Time,0.032
Time,0.040
Time,0.016
Time,0.046
Time,0.203
Time,0.037
Time,0.025
Time,0.021
Time,0.028
Time,0.029
Time,0.027
Time,0.035
Time,1.204
Time,0.014
Time,0.015
Time,0.015
Time,0.015
Time,0.015
Time,0.015
Time,0.025
Time,0.249
Time,0.016
Time,0.014
Time,0.021
Time,0.014
Time,0.014
Time,0.013
Time,0.014
Time,0.205
Time,0.014
Time,0.014
Time,0.014
Time,0.014
Time,0.013
Time,0.014
Time,0.014
Time,0.072
Time,0.020
Time,0.013
Time,0.013
Time,0.012
Time,0.013
Time,0.013
Time,0.013
Time,0.210
Time,0.012
Time,4.340
Time,0.021
Time,0.017
Time,0.553
Time,0.018
Time,0.018
Time,0.018
Time,0.019
Time,0.020
Time,0.025
Time,0.022
Time,0.026
Time,0.026
Time,0.042
Time,0.053
Time,0.047
Time,0.077
Time,0.041
Time,0.063
Time,0.042
Time,0.026
Time,0.048
Time,0.051
Time,0.040
Time,0.025
Time,0.028
Time,0.047
Time,0.030
Time,0.032
Time,0.030
Time,0.043
Time,0.051
Time,0.057
Time,0.043
Time,0.068
Time,0.104
Time,0.188
Time,0.435
Time,0.058
Time,0.059
Time,0.023
Time,0.036
Time,0.049
Time,0.050
Time,0.046
Time,0.071
Time,0.043
Time,0.057
Time,0.044
Time,0.051
Time,0.050
Time,0.288
Time,0.825
Time,0.072
Time,0.056
Time,0.042
Time,0.055
Time,0.059
Time,0.026
Time,0.065
Time,0.056
Time,0.053
Time,0.056
Time,0.048
Time,0.056
Time,0.066
Time,0.072
Time,0.138
Time,0.988
Time,0.054
Time,0.070
Time,0.052
Time,0.041
Time,0.038
Time,0.028
Time,0.042
Time,0.046
Time,0.028
Time,0.032
Time,0.031
Time,0.066
Time,0.103
Time,0.070
Time,0.040
Time,0.419
Time,0.054
Time,0.048
Time,0.057
Time,0.069
Time,0.042
Time,0.072
Time,0.053
Time,0.041
Time,0.049
Time,0.060
Time,0.063
Time,0.063
Time,0.453
Time,0.049
Time,0.037
Time,0.160
Time,0.024
Time,0.029
Time,0.028
Time,0.018
Time,0.018
Time,0.018
Time,0.017
Time,0.018
Time,0.017
Time,0.019
Time,0.021
Time,0.017
Time,0.106
Time,0.017
Time,0.016
Time,0.193
Time,0.016
Time,0.016
Time,0.016
Time,0.016
Time,0.016
Time,0.016
Time,2.361
Time,0.381
Time,0.623
Time,0.552
Time,0.997
Time,0.733
Time,0.589
Time,0.876
Time,0.616
Time,0.627
Time,0.614
Time,0.172
Time,0.369
Time,0.174
Time,0.382
Time,0.220
Time,0.035
Time,0.047
Time,0.045
Time,0.057
Time,0.054
Time,0.096
Time,0.079
Time,0.088
Time,0.059
Time,0.051
Time,0.073
Time,0.097
Time,0.163
Time,0.171
Time,0.135
Time,0.129
Time,0.064
Time,0.069
Time,0.058
Time,0.132
Time,0.175
Time,0.057
Time,0.082
Time,0.066
Time,0.085
Time,0.072
Time,0.146
Time,0.149
Time,0.204
Time,0.172
Time,0.137
Time,0.136
Time,0.154
Time,0.181
Time,0.100
Time,0.149
Time,0.188
Time,0.146
Time,0.120
Time,0.125
Time,0.111
Time,0.115
Time,0.091
Time,0.178
Time,0.134
Time,0.128
Time,0.134
Time,0.151
Time,0.129
Time,0.157
Time,0.103
Time,0.081
Time,0.161
Time,0.108
Time,0.132
Time,0.108
Time,0.155
Time,0.140
Time,0.130
Time,0.131
Time,0.124
Time,0.093
Time,1.059
Time,0.108
Time,0.103
Time,0.081
Time,0.054
Time,0.110
Time,0.147
Time,0.096
Time,0.081
Time,0.123
Time,0.099
Time,0.101
Time,0.067
Time,0.112
Time,0.087
Time,0.077
Time,0.269
Time,0.082
Time,0.057
Time,0.091
Time,0.056
Time,0.065
Time,0.151
Time,0.096
Time,0.081
Time,0.065
Time,0.068
Time,0.048
Time,0.041
Time,0.043
Time,0.044
Time,0.037
Time,0.081
Time,0.029
Time,0.027
Time,0.026
Time,0.027
Time,0.024
Time,0.025
Time,0.024
Time,0.025
Time,0.026
Time,0.026
Time,0.027
Time,0.025
