Model,Epoch,Batch Size,Learning Rate,Hit@1,Hit@5
Mobilenet,100,16,0.001,3.68%,24.26%
Mobilenet,100,16,0.01,11.03%,47.79%
Mobilenet,100,16,0.1,27.94%,77.94%
Mobilenet,100,32,0.001,4.41%,14.71%
Mobilenet,100,32,0.01,9.56%,26.47%
Mobilenet,100,32,0.1,22.79%,77.94%
Mobilenet,100,64,0.001,3.68%,16.91%
Mobilenet,100,64,0.01,4.41%,16.18%
Mobilenet,100,64,0.1,25.74%,77.21%
Mobilenet,100,8,0.001,2.21%,18.38%
Mobilenet,100,8,0.01,20.59%,65.44%
Mobilenet,100,8,0.1,19.85%,74.26%
Shufflenet,100,16,0.001,6.62%,20.59%
Shufflenet,100,16,0.01,19.12%,65.44%
Shufflenet,100,16,0.1,33.09%,78.68%
Shufflenet,100,32,0.001,2.21%,11.03%
Shufflenet,100,32,0.01,11.03%,52.21%
Shufflenet,100,32,0.1,18.38%,72.06%
Shufflenet,100,64,0.001,2.94%,19.12%
Shufflenet,100,64,0.01,7.35%,25.00%
Shufflenet,100,64,0.1,21.32%,70.59%
Shufflenet,100,8,0.001,5.88%,27.21%
Shufflenet,100,8,0.01,28.68%,73.53%
Shufflenet,100,8,0.1,30.15%,75.00%
Mobilenet,250,16,0.001,3.68%,24.26%
Mobilenet,250,16,0.01,11.03%,47.79%
Mobilenet,250,16,0.1,26.47%,75.74%
Mobilenet,250,32,0.001,4.41%,14.71%
Mobilenet,250,32,0.01,9.56%,26.47%
Mobilenet,250,32,0.1,22.79%,77.94%
Mobilenet,250,64,0.001,3.68%,16.91%
Mobilenet,250,64,0.01,4.41%,16.18%
Mobilenet,250,64,0.1,24.26%,75.00%
Mobilenet,250,8,0.001,2.21%,18.38%
Mobilenet,250,8,0.01,21.32%,61.76%
Mobilenet,250,8,0.1,19.85%,74.26%
Shufflenet,250,16,0.001,3.68%,20.59%
Shufflenet,250,16,0.01,20.59%,69.85%
Shufflenet,250,16,0.1,25.74%,77.21%
Shufflenet,250,32,0.001,3.68%,18.38%
Shufflenet,250,32,0.01,13.97%,55.88%
Shufflenet,250,32,0.1,29.41%,69.12%
Shufflenet,250,64,0.001,3.68%,22.79%
Shufflenet,250,64,0.01,10.29%,25.74%
Shufflenet,250,64,0.1,30.15%,71.32%
Shufflenet,250,8,0.001,5.15%,19.85%
Shufflenet,250,8,0.01,19.12%,72.06%
Shufflenet,250,8,0.1,23.53%,78.68%
Mobilenet,500,16,0.001,3.68%,24.26%
Mobilenet,500,16,0.01,9.56%,46.32%
Mobilenet,500,16,0.1,25.00%,75.74%
Mobilenet,500,32,0.001,4.41%,14.71%
Mobilenet,500,32,0.01,9.56%,26.47%
Mobilenet,500,32,0.1,22.79%,77.94%
Mobilenet,500,64,0.001,3.68%,16.91%
Mobilenet,500,64,0.01,4.41%,16.18%
Mobilenet,500,64,0.1,24.26%,75.00%
Mobilenet,500,8,0.001,2.21%,18.38%
Mobilenet,500,8,0.01,21.32%,61.76%
Mobilenet,500,8,0.1,18.38%,75.74%
Shufflenet,500,16,0.001,2.94%,13.24%
Shufflenet,500,16,0.01,20.59%,61.03%
Shufflenet,500,16,0.1,27.94%,76.47%
Shufflenet,500,32,0.001,4.41%,22.06%
Shufflenet,500,32,0.01,13.24%,55.88%
Shufflenet,500,32,0.1,26.47%,69.12%
Shufflenet,500,64,0.001,2.21%,20.59%
Shufflenet,500,64,0.01,5.15%,19.85%
Shufflenet,500,64,0.1,25.00%,71.32%
Shufflenet,500,8,0.001,4.41%,15.44%
Shufflenet,500,8,0.01,33.09%,69.12%
Shufflenet,500,8,0.1,27.94%,79.41%
