Model,Epoch,Batch Size,Learning Rate,Hit@1,Hit@5
Mobilenet,100,16,0.001,0.03676470588235294,0.2426470588235294
Mobilenet,100,16,0.01,0.11029411764705882,0.47794117647058826
Mobilenet,100,16,0.1,0.27941176470588236,0.7794117647058824
Mobilenet,100,32,0.001,0.04411764705882353,0.14705882352941177
Mobilenet,100,32,0.01,0.09558823529411764,0.2647058823529412
Mobilenet,100,32,0.1,0.22794117647058823,0.7794117647058824
Mobilenet,100,64,0.001,0.03676470588235294,0.16911764705882354
Mobilenet,100,64,0.01,0.04411764705882353,0.16176470588235295
Mobilenet,100,64,0.1,0.25735294117647056,0.7720588235294118
Mobilenet,100,8,0.001,0.022058823529411766,0.18382352941176472
Mobilenet,100,8,0.01,0.20588235294117646,0.6544117647058824
Mobilenet,100,8,0.1,0.19852941176470587,0.7426470588235294
Shufflenet,100,16,0.001,0.0661764705882353,0.20588235294117646
Shufflenet,100,16,0.01,0.19117647058823528,0.6544117647058824
Shufflenet,100,16,0.1,0.33088235294117646,0.7867647058823529
Shufflenet,100,32,0.001,0.022058823529411766,0.11029411764705882
Shufflenet,100,32,0.01,0.11029411764705882,0.5220588235294118
Shufflenet,100,32,0.1,0.18382352941176472,0.7205882352941176
Shufflenet,100,64,0.001,0.029411764705882353,0.19117647058823528
Shufflenet,100,64,0.01,0.07352941176470588,0.25
Shufflenet,100,64,0.1,0.21323529411764705,0.7058823529411765
Shufflenet,100,8,0.001,0.058823529411764705,0.27205882352941174
Shufflenet,100,8,0.01,0.2867647058823529,0.7352941176470589
Shufflenet,100,8,0.1,0.3014705882352941,0.75
Mobilenet,250,16,0.001,0.03676470588235294,0.2426470588235294
Mobilenet,250,16,0.01,0.11029411764705882,0.47794117647058826
Mobilenet,250,16,0.1,0.2647058823529412,0.7573529411764706
Mobilenet,250,32,0.001,0.04411764705882353,0.14705882352941177
Mobilenet,250,32,0.01,0.09558823529411764,0.2647058823529412
Mobilenet,250,32,0.1,0.22794117647058823,0.7794117647058824
Mobilenet,250,64,0.001,0.03676470588235294,0.16911764705882354
Mobilenet,250,64,0.01,0.04411764705882353,0.16176470588235295
Mobilenet,250,64,0.1,0.2426470588235294,0.75
Mobilenet,250,8,0.001,0.022058823529411766,0.18382352941176472
Mobilenet,250,8,0.01,0.21323529411764705,0.6176470588235294
Mobilenet,250,8,0.1,0.19852941176470587,0.7426470588235294
Shufflenet,250,16,0.001,0.03676470588235294,0.20588235294117646
Shufflenet,250,16,0.01,0.20588235294117646,0.6985294117647058
Shufflenet,250,16,0.1,0.25735294117647056,0.7720588235294118
Shufflenet,250,32,0.001,0.03676470588235294,0.18382352941176472
Shufflenet,250,32,0.01,0.13970588235294118,0.5588235294117647
Shufflenet,250,32,0.1,0.29411764705882354,0.6911764705882353
Shufflenet,250,64,0.001,0.03676470588235294,0.22794117647058823
Shufflenet,250,64,0.01,0.10294117647058823,0.25735294117647056
Shufflenet,250,64,0.1,0.3014705882352941,0.7132352941176471
Shufflenet,250,8,0.001,0.051470588235294115,0.19852941176470587
Shufflenet,250,8,0.01,0.19117647058823528,0.7205882352941176
Shufflenet,250,8,0.1,0.23529411764705882,0.7867647058823529
Mobilenet,500,16,0.001,0.03676470588235294,0.2426470588235294
Mobilenet,500,16,0.01,0.09558823529411764,0.4632352941176471
Mobilenet,500,16,0.1,0.25,0.7573529411764706
Mobilenet,500,32,0.001,0.04411764705882353,0.14705882352941177
Mobilenet,500,32,0.01,0.09558823529411764,0.2647058823529412
Mobilenet,500,32,0.1,0.22794117647058823,0.7794117647058824
Mobilenet,500,64,0.001,0.03676470588235294,0.16911764705882354
Mobilenet,500,64,0.01,0.04411764705882353,0.16176470588235295
Mobilenet,500,64,0.1,0.2426470588235294,0.75
Mobilenet,500,8,0.001,0.022058823529411766,0.18382352941176472
Mobilenet,500,8,0.01,0.21323529411764705,0.6176470588235294
Mobilenet,500,8,0.1,0.18382352941176472,0.7573529411764706
Shufflenet,500,16,0.001,0.029411764705882353,0.1323529411764706
Shufflenet,500,16,0.01,0.20588235294117646,0.6102941176470589
Shufflenet,500,16,0.1,0.27941176470588236,0.7647058823529411
Shufflenet,500,32,0.001,0.04411764705882353,0.22058823529411764
Shufflenet,500,32,0.01,0.1323529411764706,0.5588235294117647
Shufflenet,500,32,0.1,0.2647058823529412,0.6911764705882353
Shufflenet,500,64,0.001,0.022058823529411766,0.20588235294117646
Shufflenet,500,64,0.01,0.051470588235294115,0.19852941176470587
Shufflenet,500,64,0.1,0.25,0.7132352941176471
Shufflenet,500,8,0.001,0.04411764705882353,0.15441176470588236
Shufflenet,500,8,0.01,0.33088235294117646,0.6911764705882353
Shufflenet,500,8,0.1,0.27941176470588236,0.7941176470588235
